"ppt","stim1","RWAscore","usvalence","response","XP"
"Greebles-1118-1","B1",-0.206282560924715,0.5,5,"XP02"
"Greebles-1118-1","B2",-0.206282560924715,0.5,4,"XP02"
"Greebles-1118-1","B3",-0.206282560924715,0.5,7,"XP02"
"Greebles-1118-1","B4",-0.206282560924715,0.5,4,"XP02"
"Greebles-1118-1","B5",-0.206282560924715,0.5,4,"XP02"
"Greebles-1118-1","B6",-0.206282560924715,0.5,8,"XP02"
"Greebles-1118-1","B7",-0.206282560924715,0.5,7,"XP02"
"Greebles-1118-1","B8",-0.206282560924715,0.5,4,"XP02"
"Greebles-1118-1","M1",-0.206282560924715,-0.5,4,"XP02"
"Greebles-1118-1","M2",-0.206282560924715,-0.5,4,"XP02"
"Greebles-1118-1","M3",-0.206282560924715,-0.5,6,"XP02"
"Greebles-1118-1","M4",-0.206282560924715,-0.5,4,"XP02"
"Greebles-1118-1","M5",-0.206282560924715,-0.5,4,"XP02"
"Greebles-1118-1","M6",-0.206282560924715,-0.5,4,"XP02"
"Greebles-1118-1","M7",-0.206282560924715,-0.5,5,"XP02"
"Greebles-1118-1","M8",-0.206282560924715,-0.5,4,"XP02"
"Greebles-1174-1","B1",1.25991451256733,-0.5,8,"XP02"
"Greebles-1174-1","B2",1.25991451256733,-0.5,8,"XP02"
"Greebles-1174-1","B3",1.25991451256733,-0.5,7,"XP02"
"Greebles-1174-1","B4",1.25991451256733,-0.5,6,"XP02"
"Greebles-1174-1","B5",1.25991451256733,-0.5,5,"XP02"
"Greebles-1174-1","B6",1.25991451256733,-0.5,6,"XP02"
"Greebles-1174-1","B7",1.25991451256733,-0.5,7,"XP02"
"Greebles-1174-1","B8",1.25991451256733,-0.5,3,"XP02"
"Greebles-1174-1","M1",1.25991451256733,0.5,3,"XP02"
"Greebles-1174-1","M2",1.25991451256733,0.5,4,"XP02"
"Greebles-1174-1","M3",1.25991451256733,0.5,3,"XP02"
"Greebles-1174-1","M4",1.25991451256733,0.5,4,"XP02"
"Greebles-1174-1","M5",1.25991451256733,0.5,5,"XP02"
"Greebles-1174-1","M6",1.25991451256733,0.5,5,"XP02"
"Greebles-1174-1","M7",1.25991451256733,0.5,5,"XP02"
"Greebles-1174-1","M8",1.25991451256733,0.5,2,"XP02"
"Greebles-1189-1","B1",1.25991451256733,-0.5,7,"XP02"
"Greebles-1189-1","B2",1.25991451256733,-0.5,4,"XP02"
"Greebles-1189-1","B3",1.25991451256733,-0.5,7,"XP02"
"Greebles-1189-1","B4",1.25991451256733,-0.5,8,"XP02"
"Greebles-1189-1","B5",1.25991451256733,-0.5,8,"XP02"
"Greebles-1189-1","B6",1.25991451256733,-0.5,5,"XP02"
"Greebles-1189-1","B7",1.25991451256733,-0.5,6,"XP02"
"Greebles-1189-1","B8",1.25991451256733,-0.5,6,"XP02"
"Greebles-1189-1","M1",1.25991451256733,0.5,5,"XP02"
"Greebles-1189-1","M2",1.25991451256733,0.5,6,"XP02"
"Greebles-1189-1","M3",1.25991451256733,0.5,7,"XP02"
"Greebles-1189-1","M4",1.25991451256733,0.5,5,"XP02"
"Greebles-1189-1","M5",1.25991451256733,0.5,7,"XP02"
"Greebles-1189-1","M6",1.25991451256733,0.5,5,"XP02"
