"ppt","stim1","RWAscore","usvalence","response","XP"
"869599__20160428_154351.csv","B3",0.494141334210956,0.5,8,"XP03"
"869599__20160428_154351.csv","B8",0.494141334210956,0.5,1,"XP03"
"869599__20160428_154351.csv","B7",0.494141334210956,0.5,7,"XP03"
"869599__20160428_154351.csv","B5",0.494141334210956,0.5,6,"XP03"
"869599__20160428_154351.csv","B1",0.494141334210956,0.5,4,"XP03"
"869599__20160428_154351.csv","M4",0.494141334210956,-0.5,4,"XP03"
"869599__20160428_154351.csv","M1",0.494141334210956,-0.5,8,"XP03"
"869599__20160428_154351.csv","M6",0.494141334210956,-0.5,9,"XP03"
"869599__20160428_154351.csv","B2",0.494141334210956,0.5,1,"XP03"
"869599__20160428_154351.csv","M5",0.494141334210956,-0.5,1,"XP03"
"869599__20160428_154351.csv","B4",0.494141334210956,0.5,9,"XP03"
"869599__20160428_154351.csv","M7",0.494141334210956,-0.5,1,"XP03"
"869599__20160428_154351.csv","B6",0.494141334210956,0.5,3,"XP03"
"869599__20160428_154351.csv","M2",0.494141334210956,-0.5,3,"XP03"
"869599__20160428_154351.csv","M8",0.494141334210956,-0.5,2,"XP03"
"869599__20160428_154351.csv","M3",0.494141334210956,-0.5,2,"XP03"
"869599__20160428_154441.csv","M6",0.115468365548655,-0.5,2,"XP03"
"869599__20160428_154441.csv","B4",0.115468365548655,0.5,8,"XP03"
"869599__20160428_154441.csv","M5",0.115468365548655,-0.5,2,"XP03"
"869599__20160428_154441.csv","M3",0.115468365548655,-0.5,2,"XP03"
"869599__20160428_154441.csv","M4",0.115468365548655,-0.5,2,"XP03"
"869599__20160428_154441.csv","B2",0.115468365548655,0.5,8,"XP03"
"869599__20160428_154441.csv","M2",0.115468365548655,-0.5,2,"XP03"
"869599__20160428_154441.csv","B7",0.115468365548655,0.5,8,"XP03"
"869599__20160428_154441.csv","M8",0.115468365548655,-0.5,2,"XP03"
"869599__20160428_154441.csv","B3",0.115468365548655,0.5,8,"XP03"
"869599__20160428_154441.csv","B8",0.115468365548655,0.5,8,"XP03"
"869599__20160428_154441.csv","M7",0.115468365548655,-0.5,2,"XP03"
"869599__20160428_154441.csv","B5",0.115468365548655,0.5,8,"XP03"
"869599__20160428_154441.csv","B6",0.115468365548655,0.5,8,"XP03"
"869599__20160428_154441.csv","M1",0.115468365548655,-0.5,2,"XP03"
"869599__20160428_154441.csv","B1",0.115468365548655,0.5,8,"XP03"
"869599__20160428_154519.csv","M2",0.115468365548655,-0.5,3,"XP03"
"869599__20160428_154519.csv","M7",0.115468365548655,-0.5,5,"XP03"
"869599__20160428_154519.csv","M5",0.115468365548655,-0.5,1,"XP03"
"869599__20160428_154519.csv","B1",0.115468365548655,0.5,8,"XP03"
"869599__20160428_154519.csv","B2",0.115468365548655,0.5,7,"XP03"
"869599__20160428_154519.csv","M6",0.115468365548655,-0.5,2,"XP03"
"869599__20160428_154519.csv","M4",0.115468365548655,-0.5,3,"XP03"
"869599__20160428_154519.csv","M3",0.115468365548655,-0.5,1,"XP03"
"869599__20160428_154519.csv","M8",0.115468365548655,-0.5,4,"XP03"
"869599__20160428_154519.csv","B3",0.115468365548655,0.5,5,"XP03"
"869599__20160428_154519.csv","B7",0.115468365548655,0.5,2,"XP03"
"869599__20160428_154519.csv","B5",0.115468365548655,0.5,3,"XP03"
"869599__20160428_154519.csv","M1",0.115468365548655,-0.5,6,"XP03"
"869599__20160428_154519.csv","B4",0.115468365548655,0.5,5,"XP03"
"869599__20160428_154519.csv","B6",0.115468365548655,0.5,4,"XP03"
"869599__20160428_154519.csv","B8",0.115468365548655,0.5,7,"XP03"
"869599__20160428_154611.csv","M3",-0.515653248888515,-0.5,3,"XP03"
"869599__20160428_154611.csv","M8",-0.515653248888515,-0.5,5,"XP03"
"869599__20160428_154611.csv","M5",-0.515653248888515,-0.5,9,"XP03"
"869599__20160428_154611.csv","B1",-0.515653248888515,0.5,3,"XP03"
"869599__20160428_154611.csv","M4",-0.515653248888515,-0.5,7,"XP03"
"869599__20160428_154611.csv","B5",-0.515653248888515,0.5,4,"XP03"
"869599__20160428_154611.csv","M2",-0.515653248888515,-0.5,9,"XP03"
"869599__20160428_154611.csv","B3",-0.515653248888515,0.5,7,"XP03"
"869599__20160428_154611.csv","B2",-0.515653248888515,0.5,2,"XP03"
"869599__20160428_154611.csv","M7",-0.515653248888515,-0.5,2,"XP03"
"869599__20160428_154611.csv","M1",-0.515653248888515,-0.5,8,"XP03"
"869599__20160428_154611.csv","B4",-0.515653248888515,0.5,9,"XP03"
"869599__20160428_154611.csv","B7",-0.515653248888515,0.5,4,"XP03"
"869599__20160428_154611.csv","B8",-0.515653248888515,0.5,7,"XP03"
"869599__20160428_154611.csv","B6",-0.515653248888515,0.5,8,"XP03"
"869599__20160428_154611.csv","M6",-0.515653248888515,-0.5,9,"XP03"
"869599__20160428_154640.csv","M7",0.494141334210956,-0.5,8,"XP03"
"869599__20160428_154640.csv","M4",0.494141334210956,-0.5,9,"XP03"
"869599__20160428_154640.csv","B4",0.494141334210956,0.5,5,"XP03"
"869599__20160428_154640.csv","B2",0.494141334210956,0.5,6,"XP03"
"869599__20160428_154640.csv","M8",0.494141334210956,-0.5,2,"XP03"
"869599__20160428_154640.csv","M6",0.494141334210956,-0.5,3,"XP03"
"869599__20160428_154640.csv","M5",0.494141334210956,-0.5,7,"XP03"
"869599__20160428_154640.csv","B5",0.494141334210956,0.5,7,"XP03"
"869599__20160428_154640.csv","B3",0.494141334210956,0.5,4,"XP03"
"869599__20160428_154640.csv","B6",0.494141334210956,0.5,5,"XP03"
"869599__20160428_154640.csv","M1",0.494141334210956,-0.5,5,"XP03"
"869599__20160428_154640.csv","B8",0.494141334210956,0.5,7,"XP03"
"869599__20160428_154640.csv","B1",0.494141334210956,0.5,7,"XP03"
