"ppt","stim1","RWAscore","usvalence","response"
"AAMOKZPAFMKE","M4",0.352870019114647,-0.5,2
"AAMOKZPAFMKE","B1",0.352870019114647,0.5,8
"AAMOKZPAFMKE","M1",0.352870019114647,-0.5,2
"AAMOKZPAFMKE","M5",0.352870019114647,-0.5,2
"AAMOKZPAFMKE","M2",0.352870019114647,-0.5,2
"AAMOKZPAFMKE","B5",0.352870019114647,0.5,8
"AAMOKZPAFMKE","B8",0.352870019114647,0.5,9
"AAMOKZPAFMKE","B4",0.352870019114647,0.5,8
"AAMOKZPAFMKE","M7",0.352870019114647,-0.5,2
"AAMOKZPAFMKE","B2",0.352870019114647,0.5,9
"AAMOKZPAFMKE","B7",0.352870019114647,0.5,9
"AAMOKZPAFMKE","M8",0.352870019114647,-0.5,1
"AAMOKZPAFMKE","M6",0.352870019114647,-0.5,1
"AAMOKZPAFMKE","B6",0.352870019114647,0.5,9
"AAMOKZPAFMKE","M3",0.352870019114647,-0.5,1
"AAMOKZPAFMKE","B3",0.352870019114647,0.5,9
"AAPQGRFDBCHI","B6",-1.46650853947842,-0.5,5
"AAPQGRFDBCHI","B2",-1.46650853947842,-0.5,3
"AAPQGRFDBCHI","M3",-1.46650853947842,0.5,3
"AAPQGRFDBCHI","M2",-1.46650853947842,0.5,3
"AAPQGRFDBCHI","B4",-1.46650853947842,-0.5,5
"AAPQGRFDBCHI","B7",-1.46650853947842,-0.5,3
"AAPQGRFDBCHI","M7",-1.46650853947842,0.5,2
"AAPQGRFDBCHI","B1",-1.46650853947842,-0.5,3
"AAPQGRFDBCHI","M6",-1.46650853947842,0.5,3
"AAPQGRFDBCHI","B8",-1.46650853947842,-0.5,2
"AAPQGRFDBCHI","M4",-1.46650853947842,0.5,2
"AAPQGRFDBCHI","B3",-1.46650853947842,-0.5,3
"AAPQGRFDBCHI","M1",-1.46650853947842,0.5,2
"AAPQGRFDBCHI","M5",-1.46650853947842,0.5,2
"AAPQGRFDBCHI","M8",-1.46650853947842,0.5,5
"AAPQGRFDBCHI","B5",-1.46650853947842,-0.5,2
"ABXONMSGALLE","M2",-0.517267552386383,0.5,8
"ABXONMSGALLE","B4",-0.517267552386383,-0.5,1
"ABXONMSGALLE","B8",-0.517267552386383,-0.5,1
"ABXONMSGALLE","M5",-0.517267552386383,0.5,9
"ABXONMSGALLE","M7",-0.517267552386383,0.5,9
"ABXONMSGALLE","M8",-0.517267552386383,0.5,9
"ABXONMSGALLE","M1",-0.517267552386383,0.5,1
"ABXONMSGALLE","M4",-0.517267552386383,0.5,8
"ABXONMSGALLE","B6",-0.517267552386383,-0.5,1
"ABXONMSGALLE","B3",-0.517267552386383,-0.5,1
"ABXONMSGALLE","M3",-0.517267552386383,0.5,8
"ABXONMSGALLE","M6",-0.517267552386383,0.5,9
"ABXONMSGALLE","B1",-0.517267552386383,-0.5,1
"ABXONMSGALLE","B7",-0.517267552386383,-0.5,1
"ABXONMSGALLE","B5",-0.517267552386383,-0.5,1
"ABXONMSGALLE","B2",-0.517267552386383,-0.5,1
"ADPZCGIOQBDE","B6",-0.359060721204378,0.5,4
"ADPZCGIOQBDE","M5",-0.359060721204378,-0.5,3
"ADPZCGIOQBDE","M3",-0.359060721204378,-0.5,3
"ADPZCGIOQBDE","B7",-0.359060721204378,0.5,5
"ADPZCGIOQBDE","M2",-0.359060721204378,-0.5,4
"ADPZCGIOQBDE","B5",-0.359060721204378,0.5,3
"ADPZCGIOQBDE","M8",-0.359060721204378,-0.5,3
"ADPZCGIOQBDE","B4",-0.359060721204378,0.5,6
"ADPZCGIOQBDE","M7",-0.359060721204378,-0.5,3
"ADPZCGIOQBDE","B8",-0.359060721204378,0.5,6
"ADPZCGIOQBDE","M4",-0.359060721204378,-0.5,3
"ADPZCGIOQBDE","B3",-0.359060721204378,0.5,3
"ADPZCGIOQBDE","M6",-0.359060721204378,-0.5,3
"ADPZCGIOQBDE","B1",-0.359060721204378,0.5,6
