Subject,RWA,SDO,SPE,WCST,CS,Age,assignment,CS_family,CSratings,CSratings_RT,recognition_task,Flex,Flex_c,high_flex,low_flex,filter_3,flex_z,filter_subj_FLEX,filter_$,Ordre,RWA_c,SDO_c,SPE_c
10973,26,26,14,,B1,21,1,-1,4,586,1,"12,5","1,873455","-2,2139","5,96081",1,"0,4961199233",1,1,-1,"-5,419355","1,483871","-8,645161"
10973,26,26,14,,B2,21,1,-1,4,5566,1,"12,5","1,873455","-2,2139","5,96081",1,"0,4961199233",1,1,-1,"-5,419355","1,483871","-8,645161"
10973,26,26,14,,B3,21,1,-1,4,14247,0,"12,5","1,873455","-2,2139","5,96081",1,"0,4961199233",1,1,-1,"-5,419355","1,483871","-8,645161"
10973,26,26,14,,B4,21,1,-1,4,670,1,"12,5","1,873455","-2,2139","5,96081",1,"0,4961199233",1,1,-1,"-5,419355","1,483871","-8,645161"
10973,26,26,14,,B5,21,1,-1,4,1441,1,"12,5","1,873455","-2,2139","5,96081",1,"0,4961199233",1,1,-1,"-5,419355","1,483871","-8,645161"
10973,26,26,14,,B6,21,1,-1,4,585,1,"12,5","1,873455","-2,2139","5,96081",1,"0,4961199233",1,1,-1,"-5,419355","1,483871","-8,645161"
10973,26,26,14,,B7,21,1,-1,4,586,1,"12,5","1,873455","-2,2139","5,96081",1,"0,4961199233",1,1,-1,"-5,419355","1,483871","-8,645161"
10973,26,26,14,,B8,21,1,-1,4,882,1,"12,5","1,873455","-2,2139","5,96081",1,"0,4961199233",1,1,-1,"-5,419355","1,483871","-8,645161"
10973,26,26,14,,M1,21,1,1,5,5634,1,"12,5","1,873455","-2,2139","5,96081",1,"0,4961199233",1,1,1,"-5,419355","1,483871","-8,645161"
10973,26,26,14,,M2,21,1,1,5,8293,1,"12,5","1,873455","-2,2139","5,96081",1,"0,4961199233",1,1,1,"-5,419355","1,483871","-8,645161"
10973,26,26,14,,M3,21,1,1,5,2194,1,"12,5","1,873455","-2,2139","5,96081",1,"0,4961199233",1,1,1,"-5,419355","1,483871","-8,645161"
10973,26,26,14,,M4,21,1,1,5,2536,1,"12,5","1,873455","-2,2139","5,96081",1,"0,4961199233",1,1,1,"-5,419355","1,483871","-8,645161"
10973,26,26,14,,M5,21,1,1,5,2336,1,"12,5","1,873455","-2,2139","5,96081",1,"0,4961199233",1,1,1,"-5,419355","1,483871","-8,645161"
10973,26,26,14,,M6,21,1,1,5,602,1,"12,5","1,873455","-2,2139","5,96081",1,"0,4961199233",1,1,1,"-5,419355","1,483871","-8,645161"
10973,26,26,14,,M7,21,1,1,4,1200,1,"12,5","1,873455","-2,2139","5,96081",1,"0,4961199233",1,1,1,"-5,419355","1,483871","-8,645161"
10973,26,26,14,,M8,21,1,1,5,3495,1,"12,5","1,873455","-2,2139","5,96081",1,"0,4961199233",1,1,1,"-5,419355","1,483871","-8,645161"
11586,34,44,36,,B1,19,1,-1,9,1745,0,"7,81","-2,816545","-6,9039","1,27081",0,"-0,7458647736",1,1,-1,"2,580645","19,483871","13,354839"
11586,34,44,36,,B2,19,1,-1,9,2461,0,"7,81","-2,816545","-6,9039","1,27081",0,"-0,7458647736",1,1,-1,"2,580645","19,483871","13,354839"
11586,34,44,36,,B3,19,1,-1,3,6461,1,"7,81","-2,816545","-6,9039","1,27081",1,"-0,7458647736",1,1,-1,"2,580645","19,483871","13,354839"
11586,34,44,36,,B4,19,1,-1,8,8240,1,"7,81","-2,816545","-6,9039","1,27081",0,"-0,7458647736",1,1,-1,"2,580645","19,483871","13,354839"
11586,34,44,36,,B5,19,1,-1,8,5411,0,"7,81","-2,816545","-6,9039","1,27081",0,"-0,7458647736",1,1,-1,"2,580645","19,483871","13,354839"
11586,34,44,36,,B6,19,1,-1,2,7464,1,"7,81","-2,816545","-6,9039","1,27081",1,"-0,7458647736",1,1,-1,"2,580645","19,483871","13,354839"
11586,34,44,36,,B7,19,1,-1,3,2722,1,"7,81","-2,816545","-6,9039","1,27081",1,"-0,7458647736",1,1,-1,"2,580645","19,483871","13,354839"
11586,34,44,36,,B8,19,1,-1,6,2971,1,"7,81","-2,816545","-6,9039","1,27081",1,"-0,7458647736",1,1,-1,"2,580645","19,483871","13,354839"
11586,34,44,36,,M1,19,1,1,7,2914,1,"7,81","-2,816545","-6,9039","1,27081",1,"-0,7458647736",1,1,1,"2,580645","19,483871","13,354839"
11586,34,44,36,,M2,19,1,1,2,1629,1,"7,81","-2,816545","-6,9039","1,27081",0,"-0,7458647736",1,1,1,"2,580645","19,483871","13,354839"
11586,34,44,36,,M3,19,1,1,2,2637,1,"7,81","-2,816545","-6,9039","1,27081",0,"-0,7458647736",1,1,1,"2,580645","19,483871","13,354839"
11586,34,44,36,,M4,19,1,1,3,5187,1,"7,81","-2,816545","-6,9039","1,27081",1,"-0,7458647736",1,1,1,"2,580645","19,483871","13,354839"
11586,34,44,36,,M5,19,1,1,2,2178,1,"7,81","-2,816545","-6,9039","1,27081",0,"-0,7458647736",1,1,1,"2,580645","19,483871","13,354839"
11586,34,44,36,,M6,19,1,1,9,5348,1,"7,81","-2,816545","-6,9039","1,27081",0,"-0,7458647736",1,1,1,"2,580645","19,483871","13,354839"
11586,34,44,36,,M7,19,1,1,1,1673,0,"7,81","-2,816545","-6,9039","1,27081",0,"-0,7458647736",1,1,1,"2,580645","19,483871","13,354839"
11586,34,44,36,,M8,19,1,1,4,3726,0,"7,81","-2,816545","-6,9039","1,27081",1,"-0,7458647736",1,1,1,"2,580645","19,483871","13,354839"
11652,48,42,22,,B1,21,-1,-1,2,3108,1,"14,06","3,433455","-0,6539","7,52081",0,"0,9092321039",1,1,1,"16,580645","17,483871","-0,645161"
11652,48,42,22,,B2,21,-1,-1,9,3332,1,"14,06","3,433455","-0,6539","7,52081",1,"0,9092321039",1,1,1,"16,580645","17,483871","-0,645161"
11652,48,42,22,,B3,21,-1,-1,8,4538,1,"14,06","3,433455","-0,6539","7,52081",1,"0,9092321039",1,1,1,"16,580645","17,483871","-0,645161"
11652,48,42,22,,B4,21,-1,-1,8,2172,1,"14,06","3,433455","-0,6539","7,52081",1,"0,9092321039",1,1,1,"16,580645","17,483871","-0,645161"
11652,48,42,22,,B5,21,-1,-1,9,763,1,"14,06","3,433455","-0,6539","7,52081",1,"0,9092321039",1,1,1,"16,580645","17,483871","-0,645161"
11652,48,42,22,,B6,21,-1,-1,9,1979,1,"14,06","3,433455","-0,6539","7,52081",1,"0,9092321039",1,1,1,"16,580645","17,483871","-0,645161"
11652,48,42,22,,B7,21,-1,-1,8,1991,1,"14,06","3,433455","-0,6539","7,52081",1,"0,9092321039",1,1,1,"16,580645","17,483871","-0,645161"
11652,48,42,22,,B8,21,-1,-1,8,9166,1,"14,06","3,433455","-0,6539","7,52081",1,"0,9092321039",1,1,1,"16,580645","17,483871","-0,645161"
11652,48,42,22,,M1,21,-1,1,1,2599,1,"14,06","3,433455","-0,6539","7,52081",1,"0,9092321039",1,1,-1,"16,580645","17,483871","-0,645161"
11652,48,42,22,,M2,21,-1,1,2,3311,1,"14,06","3,433455","-0,6539","7,52081",1,"0,9092321039",1,1,-1,"16,580645","17,483871","-0,645161"
11652,48,42,22,,M3,21,-1,1,2,2964,1,"14,06","3,433455","-0,6539","7,52081",1,"0,9092321039",1,1,-1,"16,580645","17,483871","-0,645161"
11652,48,42,22,,M4,21,-1,1,3,6788,1,"14,06","3,433455","-0,6539","7,52081",1,"0,9092321039",1,1,-1,"16,580645","17,483871","-0,645161"
11652,48,42,22,,M5,21,-1,1,5,4671,1,"14,06","3,433455","-0,6539","7,52081",1,"0,9092321039",1,1,-1,"16,580645","17,483871","-0,645161"
11652,48,42,22,,M6,21,-1,1,2,3662,1,"14,06","3,433455","-0,6539","7,52081",1,"0,9092321039",1,1,-1,"16,580645","17,483871","-0,645161"
11652,48,42,22,,M7,21,-1,1,8,6133,1,"14,06","3,433455","-0,6539","7,52081",0,"0,9092321039",1,1,-1,"16,580645","17,483871","-0,645161"
11652,48,42,22,,M8,21,-1,1,2,17857,1,"14,06","3,433455","-0,6539","7,52081",1,"0,9092321039",1,1,-1,"16,580645","17,483871","-0,645161"
11716,0,0,0,,B1,20,1,-1,6,5443,1,"9,38","-1,246545","-5,3339","2,84081",1,"-0,3301044379",1,1,-1,,,
11716,0,0,0,,B2,20,1,-1,7,4788,1,"9,38","-1,246545","-5,3339","2,84081",1,"-0,3301044379",1,1,-1,,,
11716,0,0,0,,B3,20,1,-1,8,2155,1,"9,38","-1,246545","-5,3339","2,84081",1,"-0,3301044379",1,1,-1,,,
11716,0,0,0,,B4,20,1,-1,8,13955,1,"9,38","-1,246545","-5,3339","2,84081",1,"-0,3301044379",1,1,-1,,,
11716,0,0,0,,B5,20,1,-1,8,1824,1,"9,38","-1,246545","-5,3339","2,84081",1,"-0,3301044379",1,1,-1,,,
11716,0,0,0,,B6,20,1,-1,6,2880,1,"9,38","-1,246545","-5,3339","2,84081",1,"-0,3301044379",1,1,-1,,,
11716,0,0,0,,B7,20,1,-1,9,3821,1,"9,38","-1,246545","-5,3339","2,84081",0,"-0,3301044379",1,1,-1,,,
11716,0,0,0,,B8,20,1,-1,7,3395,1,"9,38","-1,246545","-5,3339","2,84081",1,"-0,3301044379",1,1,-1,,,
11716,0,0,0,,M1,20,1,1,1,1729,1,"9,38","-1,246545","-5,3339","2,84081",0,"-0,3301044379",1,1,1,,,
11716,0,0,0,,M2,20,1,1,4,2052,1,"9,38","-1,246545","-5,3339","2,84081",1,"-0,3301044379",1,1,1,,,
11716,0,0,0,,M3,20,1,1,2,1668,1,"9,38","-1,246545","-5,3339","2,84081",0,"-0,3301044379",1,1,1,,,
11716,0,0,0,,M4,20,1,1,4,6524,1,"9,38","-1,246545","-5,3339","2,84081",1,"-0,3301044379",1,1,1,,,
11716,0,0,0,,M5,20,1,1,3,3188,1,"9,38","-1,246545","-5,3339","2,84081",1,"-0,3301044379",1,1,1,,,
11716,0,0,0,,M6,20,1,1,3,4023,1,"9,38","-1,246545","-5,3339","2,84081",1,"-0,3301044379",1,1,1,,,
11716,0,0,0,,M7,20,1,1,5,5364,1,"9,38","-1,246545","-5,3339","2,84081",1,"-0,3301044379",1,1,1,,,
11716,0,0,0,,M8,20,1,1,2,2004,1,"9,38","-1,246545","-5,3339","2,84081",0,"-0,3301044379",1,1,1,,,
11779,0,0,0,,B1,22,-1,-1,6,9716,1,"7,81","-2,816545","-6,9039","1,27081",1,"-0,7458647736",1,1,1,,,
11779,0,0,0,,B2,22,-1,-1,5,3943,1,"7,81","-2,816545","-6,9039","1,27081",1,"-0,7458647736",1,1,1,,,
11779,0,0,0,,B3,22,-1,-1,6,3591,1,"7,81","-2,816545","-6,9039","1,27081",1,"-0,7458647736",1,1,1,,,
11779,0,0,0,,B4,22,-1,-1,7,5165,1,"7,81","-2,816545","-6,9039","1,27081",1,"-0,7458647736",1,1,1,,,
11779,0,0,0,,B5,22,-1,-1,6,2994,1,"7,81","-2,816545","-6,9039","1,27081",1,"-0,7458647736",1,1,1,,,
11779,0,0,0,,B6,22,-1,-1,6,13066,1,"7,81","-2,816545","-6,9039","1,27081",1,"-0,7458647736",1,1,1,,,
11779,0,0,0,,B7,22,-1,-1,8,8216,1,"7,81","-2,816545","-6,9039","1,27081",1,"-0,7458647736",1,1,1,,,
11779,0,0,0,,B8,22,-1,-1,7,14678,1,"7,81","-2,816545","-6,9039","1,27081",1,"-0,7458647736",1,1,1,,,
11779,0,0,0,,M1,22,-1,1,4,3391,1,"7,81","-2,816545","-6,9039","1,27081",1,"-0,7458647736",1,1,-1,,,
11779,0,0,0,,M2,22,-1,1,3,2334,1,"7,81","-2,816545","-6,9039","1,27081",1,"-0,7458647736",1,1,-1,,,
11779,0,0,0,,M3,22,-1,1,3,1664,1,"7,81","-2,816545","-6,9039","1,27081",1,"-0,7458647736",1,1,-1,,,
11779,0,0,0,,M4,22,-1,1,2,6247,1,"7,81","-2,816545","-6,9039","1,27081",1,"-0,7458647736",1,1,-1,,,
11779,0,0,0,,M5,22,-1,1,3,4023,1,"7,81","-2,816545","-6,9039","1,27081",1,"-0,7458647736",1,1,-1,,,
11779,0,0,0,,M6,22,-1,1,4,2645,1,"7,81","-2,816545","-6,9039","1,27081",1,"-0,7458647736",1,1,-1,,,
11779,0,0,0,,M7,22,-1,1,3,3451,1,"7,81","-2,816545","-6,9039","1,27081",1,"-0,7458647736",1,1,-1,,,
11779,0,0,0,,M8,22,-1,1,1,6255,1,"7,81","-2,816545","-6,9039","1,27081",0,"-0,7458647736",1,1,-1,,,
11986,37,27,26,,B1,19,1,-1,3,3272,1,"7,81","-2,816545","-6,9039","1,27081",1,"-0,7458647736",1,1,-1,"5,580645","2,483871","3,354839"
11986,37,27,26,,B2,19,1,-1,5,2404,1,"7,81","-2,816545","-6,9039","1,27081",1,"-0,7458647736",1,1,-1,"5,580645","2,483871","3,354839"
11986,37,27,26,,B3,19,1,-1,8,2492,0,"7,81","-2,816545","-6,9039","1,27081",1,"-0,7458647736",1,1,-1,"5,580645","2,483871","3,354839"
11986,37,27,26,,B4,19,1,-1,5,3677,1,"7,81","-2,816545","-6,9039","1,27081",1,"-0,7458647736",1,1,-1,"5,580645","2,483871","3,354839"
11986,37,27,26,,B5,19,1,-1,5,4807,1,"7,81","-2,816545","-6,9039","1,27081",1,"-0,7458647736",1,1,-1,"5,580645","2,483871","3,354839"
11986,37,27,26,,B6,19,1,-1,5,3006,1,"7,81","-2,816545","-6,9039","1,27081",1,"-0,7458647736",1,1,-1,"5,580645","2,483871","3,354839"
