"";"stim1";"ppt";"responses";"RTs";"RWAsc";"bloc";"valence";"condition1"
"19";"B3";"342643__20160428_154823.csv";3;5741;75;"2";"Pos";"ratings_Grp2"
"20";"B8";"342643__20160428_154823.csv";5;1255;75;"2";"Pos";"ratings_Grp2"
"21";"M7";"342643__20160428_154823.csv";5;1229;75;"2";"Neg";"ratings_Grp2"
"22";"M2";"342643__20160428_154823.csv";5;782;75;"2";"Neg";"ratings_Grp2"
"23";"B7";"342643__20160428_154823.csv";4;1665;75;"2";"Pos";"ratings_Grp2"
"24";"B1";"342643__20160428_154823.csv";3;1770;75;"2";"Pos";"ratings_Grp2"
"25";"M1";"342643__20160428_154823.csv";4;2969;75;"2";"Neg";"ratings_Grp2"
"26";"M8";"342643__20160428_154823.csv";4;1042;75;"2";"Neg";"ratings_Grp2"
"27";"B6";"342643__20160428_154823.csv";7;2160;75;"2";"Pos";"ratings_Grp2"
"28";"M5";"342643__20160428_154823.csv";4;837;75;"2";"Neg";"ratings_Grp2"
"29";"B5";"342643__20160428_154823.csv";8;1150;75;"2";"Pos";"ratings_Grp2"
"30";"B2";"342643__20160428_154823.csv";5;1517;75;"2";"Pos";"ratings_Grp2"
"31";"M3";"342643__20160428_154823.csv";3;1085;75;"2";"Neg";"ratings_Grp2"
"32";"B4";"342643__20160428_154823.csv";8;1168;75;"2";"Pos";"ratings_Grp2"
"33";"M4";"342643__20160428_154823.csv";5;1324;75;"2";"Neg";"ratings_Grp2"
"34";"M6";"342643__20160428_154823.csv";3;2765;75;"2";"Neg";"ratings_Grp2"
"84";"M6";"342643__20160428_155143.csv";6;6694;39;"2";"Neg";"ratings_Grp2"
"85";"M5";"342643__20160428_155143.csv";7;9598;39;"2";"Neg";"ratings_Grp2"
"86";"M1";"342643__20160428_155143.csv";6;3183;39;"2";"Neg";"ratings_Grp2"
"87";"M2";"342643__20160428_155143.csv";7;4155;39;"2";"Neg";"ratings_Grp2"
"88";"B8";"342643__20160428_155143.csv";3;3102;39;"2";"Pos";"ratings_Grp2"
"89";"M8";"342643__20160428_155143.csv";6;2038;39;"2";"Neg";"ratings_Grp2"
"90";"B1";"342643__20160428_155143.csv";5;1995;39;"2";"Pos";"ratings_Grp2"
"91";"B3";"342643__20160428_155143.csv";5;811;39;"2";"Pos";"ratings_Grp2"
"92";"B2";"342643__20160428_155143.csv";4;2495;39;"2";"Pos";"ratings_Grp2"
"93";"M3";"342643__20160428_155143.csv";7;1911;39;"2";"Neg";"ratings_Grp2"
"94";"M7";"342643__20160428_155143.csv";6;3328;39;"2";"Neg";"ratings_Grp2"
"95";"B5";"342643__20160428_155143.csv";5;1291;39;"2";"Pos";"ratings_Grp2"
"96";"B7";"342643__20160428_155143.csv";5;1251;39;"2";"Pos";"ratings_Grp2"
"97";"B6";"342643__20160428_155143.csv";5;848;39;"2";"Pos";"ratings_Grp2"
"98";"M4";"342643__20160428_155143.csv";7;1437;39;"2";"Neg";"ratings_Grp2"
"99";"B4";"342643__20160428_155143.csv";5;2263;39;"2";"Pos";"ratings_Grp2"
"149";"M5";"342643__20160428_155411.csv";6;9194;77;"2";"Neg";"ratings_Grp2"
"150";"B7";"342643__20160428_155411.csv";3;2340;77;"2";"Pos";"ratings_Grp2"
"151";"B2";"342643__20160428_155411.csv";7;2154;77;"2";"Pos";"ratings_Grp2"
"152";"B1";"342643__20160428_155411.csv";6;1883;77;"2";"Pos";"ratings_Grp2"
"153";"M8";"342643__20160428_155411.csv";2;2435;77;"2";"Neg";"ratings_Grp2"
"154";"M1";"342643__20160428_155411.csv";1;1444;77;"2";"Neg";"ratings_Grp2"
"155";"M2";"342643__20160428_155411.csv";2;782;77;"2";"Neg";"ratings_Grp2"
"156";"B4";"342643__20160428_155411.csv";5;3366;77;"2";"Pos";"ratings_Grp2"
"157";"M4";"342643__20160428_155411.csv";4;1755;77;"2";"Neg";"ratings_Grp2"
"158";"M3";"342643__20160428_155411.csv";4;2518;77;"2";"Neg";"ratings_Grp2"
"159";"B5";"342643__20160428_155411.csv";7;934;77;"2";"Pos";"ratings_Grp2"
"160";"B3";"342643__20160428_155411.csv";6;1063;77;"2";"Pos";"ratings_Grp2"
"161";"M6";"342643__20160428_155411.csv";4;1939;77;"2";"Neg";"ratings_Grp2"
"162";"B6";"342643__20160428_155411.csv";7;863;77;"2";"Pos";"ratings_Grp2"
"163";"B8";"342643__20160428_155411.csv";7;880;77;"2";"Pos";"ratings_Grp2"
"164";"M7";"342643__20160428_155411.csv";4;751;77;"2";"Neg";"ratings_Grp2"
"214";"M6";"342643__20160428_155932.csv";4;33625;75;"2";"Neg";"ratings_Grp2"
"215";"M1";"342643__20160428_155932.csv";3;2748;75;"2";"Neg";"ratings_Grp2"
"216";"M8";"342643__20160428_155932.csv";5;1800;75;"2";"Neg";"ratings_Grp2"
"217";"B8";"342643__20160428_155932.csv";6;6848;75;"2";"Pos";"ratings_Grp2"
