"ppt","type","trialNo","subjectGroup","condition1","title","content","trialText","head","stimFormat","pageBreak","stim1","stim2","key","ITI","ISI","presTime","random","randomBlock","feedbackIncorrect","feedbackCorrect","button1","button2","button3","button4","keyboard","responseType","responseOptions","orderPres","orderFile","timestamp","response","RT","correct","responseCode"
"AAMOKZPAFMKE","test",1,0,"apprentissage","na","na","Watch carefully these four families","na",".jpg","na","learn04","na","na",500,"na","na","na","na","na","na","NEXT","na","na","na","na","na","na",1,1,77050,1,18692,0,NA
"AAMOKZPAFMKE","test",2,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","O1","na","3",500,"na","na","1","na","Your answer is wrong","Your answer is correct","FAMILY A","FAMILY B","FAMILY C","FAMILY D","na","na","na",2,18,82349,3,4784,1,NA
"AAMOKZPAFMKE","test",4,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","O3","na","3",500,"na","na","1","na","Your answer is wrong","Your answer is correct","FAMILY A","FAMILY B","FAMILY C","FAMILY D","na","na","na",3,20,86673,3,1885,1,NA
"AAMOKZPAFMKE","test",17,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","P7","na","4",500,"na","na","1","na","Your answer is wrong","Your answer is correct","FAMILY A","FAMILY B","FAMILY C","FAMILY D","na","na","na",4,32,91159,4,2553,1,NA
"AAMOKZPAFMKE","test",13,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","P4","na","4",500,"na","na","1","na","Your answer is wrong","Your answer is correct","FAMILY A","FAMILY B","FAMILY C","FAMILY D","na","na","na",5,29,94997,4,1969,1,NA
"AAMOKZPAFMKE","test",10,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","P1","na","4",500,"na","na","1","na","Your answer is wrong","Your answer is correct","FAMILY A","FAMILY B","FAMILY C","FAMILY D","na","na","na",6,26,98492,4,1543,1,NA
"AAMOKZPAFMKE","test",9,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","O8","na","3",500,"na","na","1","na","Your answer is wrong","Your answer is correct","FAMILY A","FAMILY B","FAMILY C","FAMILY D","na","na","na",7,25,102031,3,1996,1,NA
"AAMOKZPAFMKE","test",17,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","M7","na","2",500,"na","na","1","na","Your answer is wrong","Your answer is correct","FAMILY A","FAMILY B","FAMILY C","FAMILY D","na","na","na",8,16,106892,2,3300,1,NA
"AAMOKZPAFMKE","test",3,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","B2","na","1",500,"na","na","1","na","Your answer is wrong","Your answer is correct","FAMILY A","FAMILY B","FAMILY C","FAMILY D","na","na","na",9,3,110913,1,2112,1,NA
"AAMOKZPAFMKE","test",12,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","P3","na","4",500,"na","na","1","na","Your answer is wrong","Your answer is correct","FAMILY A","FAMILY B","FAMILY C","FAMILY D","na","na","na",10,28,114603,4,2066,1,NA
